2025-07-14 21:52:46 - 
Experiment Configuration:
2025-07-14 21:52:46 - --------------------------------------------------
2025-07-14 21:52:46 - dataset: ds005863
2025-07-14 21:52:46 - use_combined_datasets: False
2025-07-14 21:52:46 - electrode_list: common
2025-07-14 21:52:46 - classifier: lda
2025-07-14 21:52:46 - separate_subject_classification: True
2025-07-14 21:52:46 - seeds: [1, 2, 3, 4, 5, 6, 7, 8, 9, 10]
2025-07-14 21:52:46 - --------------------------------------------------
2025-07-14 21:52:46 - 
==================================================
2025-07-14 21:52:46 - Processing Active Visual Oddball Dataset
2025-07-14 21:52:46 - ==================================================
2025-07-14 21:54:08 - Subject: sub-112, Accuracy: 83.721%
2025-07-14 21:54:08 - Subject: sub-113, Accuracy: 85.366%
2025-07-14 21:54:09 - Subject: sub-114, Accuracy: 78.049%
2025-07-14 21:54:10 - Subject: sub-115, Accuracy: 73.171%
2025-07-14 21:54:11 - Subject: sub-116, Accuracy: 82.927%
2025-07-14 21:54:11 - Subject: sub-117, Accuracy: 82.927%
2025-07-14 21:54:12 - Subject: sub-118, Accuracy: 80.488%
2025-07-14 21:54:13 - Subject: sub-119, Accuracy: 82.927%
2025-07-14 21:54:14 - Subject: sub-120, Accuracy: 73.171%
2025-07-14 21:54:15 - Subject: sub-121, Accuracy: 75.610%
2025-07-14 21:54:16 - Subject: sub-122, Accuracy: 78.049%
2025-07-14 21:54:16 - Subject: sub-123, Accuracy: 68.293%
2025-07-14 21:54:17 - Subject: sub-124, Accuracy: 93.023%
2025-07-14 21:54:18 - Subject: sub-125, Accuracy: 88.372%
2025-07-14 21:54:18 - 
Active Visual Oddball Statistics:
2025-07-14 21:54:18 - Mean Accuracy: 0.765
2025-07-14 21:54:18 - 95% Confidence Interval: [0.752, 0.778]
2025-07-14 21:54:18 - Best Subject: sub-124 (0.930)
2025-07-14 21:54:18 - Worst Subject: sub-061 (0.558)
