2025-07-14 22:13:36 - 
Experiment Configuration:
2025-07-14 22:13:36 - --------------------------------------------------
2025-07-14 22:13:36 - dataset: ds005863
2025-07-14 22:13:36 - use_combined_datasets: False
2025-07-14 22:13:36 - electrode_list: all
2025-07-14 22:13:36 - classifier: lda
2025-07-14 22:13:36 - separate_subject_classification: True
2025-07-14 22:13:36 - seeds: [1, 2, 3, 4, 5, 6, 7, 8, 9, 10]
2025-07-14 22:13:36 - --------------------------------------------------
2025-07-14 22:13:36 - 
==================================================
2025-07-14 22:13:36 - Processing Active Visual Oddball Dataset
2025-07-14 22:13:36 - ==================================================
2025-07-14 22:15:32 - Subject: sub-112, Accuracy: 81.395%
2025-07-14 22:15:33 - Subject: sub-113, Accuracy: 90.244%
2025-07-14 22:15:34 - Subject: sub-114, Accuracy: 78.049%
2025-07-14 22:15:36 - Subject: sub-115, Accuracy: 78.049%
2025-07-14 22:15:37 - Subject: sub-116, Accuracy: 78.049%
2025-07-14 22:15:38 - Subject: sub-117, Accuracy: 87.805%
2025-07-14 22:15:39 - Subject: sub-118, Accuracy: 80.488%
2025-07-14 22:15:41 - Subject: sub-119, Accuracy: 80.488%
2025-07-14 22:15:43 - Subject: sub-120, Accuracy: 73.171%
2025-07-14 22:15:45 - Subject: sub-121, Accuracy: 78.049%
2025-07-14 22:15:46 - Subject: sub-122, Accuracy: 85.366%
2025-07-14 22:15:48 - Subject: sub-123, Accuracy: 73.171%
2025-07-14 22:15:49 - Subject: sub-124, Accuracy: 81.395%
2025-07-14 22:15:50 - Subject: sub-125, Accuracy: 83.721%
2025-07-14 22:15:50 - 
Active Visual Oddball Statistics:
2025-07-14 22:15:50 - Mean Accuracy: 0.767
2025-07-14 22:15:50 - 95% Confidence Interval: [0.753, 0.782]
2025-07-14 22:15:50 - Best Subject: sub-031 (0.907)
2025-07-14 22:15:50 - Worst Subject: sub-001 (0.558)
