2025-08-26 15:09:17 - 
Experiment Configuration:
2025-08-26 15:09:17 - --------------------------------------------------
2025-08-26 15:09:17 - dataset: ds005863
2025-08-26 15:09:17 - use_combined_datasets: False
2025-08-26 15:09:17 - electrode_list: common
2025-08-26 15:09:17 - classifier: lda
2025-08-26 15:09:17 - separate_subject_classification: True
2025-08-26 15:09:17 - use_subject_layer: False
2025-08-26 15:09:17 - seeds: [1]
2025-08-26 15:09:17 - --------------------------------------------------
2025-08-26 15:09:17 - 
==================================================
2025-08-26 15:09:17 - Processing Active Visual Oddball Dataset
2025-08-26 15:09:17 - ==================================================
2025-08-26 15:10:36 - Subject: sub-111, Accuracy: 80.952%
2025-08-26 15:10:36 - Subject: sub-112, Accuracy: 69.048%
2025-08-26 15:10:36 - Subject: sub-113, Accuracy: 92.500%
2025-08-26 15:10:37 - Subject: sub-114, Accuracy: 87.500%
2025-08-26 15:10:37 - Subject: sub-115, Accuracy: 85.000%
2025-08-26 15:10:38 - Subject: sub-116, Accuracy: 90.000%
2025-08-26 15:10:38 - Subject: sub-117, Accuracy: 85.000%
2025-08-26 15:10:38 - Subject: sub-118, Accuracy: 92.500%
2025-08-26 15:10:41 - Subject: sub-119, Accuracy: 87.500%
2025-08-26 15:10:44 - Subject: sub-120, Accuracy: 80.000%
2025-08-26 15:10:45 - Subject: sub-121, Accuracy: 87.500%
2025-08-26 15:10:45 - Subject: sub-122, Accuracy: 82.500%
2025-08-26 15:10:45 - Subject: sub-123, Accuracy: 82.500%
2025-08-26 15:10:46 - Subject: sub-124, Accuracy: 92.857%
2025-08-26 15:10:46 - Subject: sub-125, Accuracy: 90.476%
2025-08-26 15:10:47 - Subject: sub-127, Accuracy: 85.000%
2025-08-26 15:10:47 - Subject: sub-001, Accuracy: 90.476%
2025-08-26 15:10:47 - Subject: sub-002, Accuracy: 92.857%
2025-08-26 15:10:47 - Subject: sub-003, Accuracy: 83.333%
2025-08-26 15:10:47 - Subject: sub-004, Accuracy: 88.095%
2025-08-26 15:10:47 - Subject: sub-005, Accuracy: 85.714%
2025-08-26 15:10:47 - Subject: sub-006, Accuracy: 85.714%
2025-08-26 15:10:47 - Subject: sub-007, Accuracy: 92.857%
2025-08-26 15:10:47 - Subject: sub-008, Accuracy: 78.571%
2025-08-26 15:10:47 - Subject: sub-009, Accuracy: 92.857%
2025-08-26 15:10:47 - Subject: sub-010, Accuracy: 90.476%
2025-08-26 15:10:47 - Subject: sub-011, Accuracy: 95.238%
2025-08-26 15:10:47 - Subject: sub-012, Accuracy: 92.857%
2025-08-26 15:10:47 - Subject: sub-013, Accuracy: 92.857%
2025-08-26 15:10:47 - Subject: sub-014, Accuracy: 90.476%
2025-08-26 15:10:47 - Subject: sub-015, Accuracy: 88.095%
2025-08-26 15:10:47 - Subject: sub-016, Accuracy: 85.714%
2025-08-26 15:10:47 - Subject: sub-017, Accuracy: 92.857%
2025-08-26 15:10:47 - Subject: sub-018, Accuracy: 90.476%
2025-08-26 15:10:47 - Subject: sub-019, Accuracy: 85.714%
2025-08-26 15:10:47 - Subject: sub-020, Accuracy: 88.095%
2025-08-26 15:10:47 - Subject: sub-021, Accuracy: 83.333%
2025-08-26 15:10:47 - Subject: sub-022, Accuracy: 85.714%
2025-08-26 15:10:47 - Subject: sub-023, Accuracy: 88.095%
2025-08-26 15:10:47 - Subject: sub-024, Accuracy: 90.476%
2025-08-26 15:10:47 - Subject: sub-025, Accuracy: 80.952%
2025-08-26 15:10:47 - Subject: sub-026, Accuracy: 88.095%
2025-08-26 15:10:47 - Subject: sub-027, Accuracy: 73.810%
2025-08-26 15:10:47 - Subject: sub-028, Accuracy: 90.476%
2025-08-26 15:10:47 - Subject: sub-029, Accuracy: 90.476%
2025-08-26 15:10:47 - Subject: sub-030, Accuracy: 90.476%
2025-08-26 15:10:47 - Subject: sub-031, Accuracy: 95.238%
2025-08-26 15:10:47 - Subject: sub-032, Accuracy: 88.095%
2025-08-26 15:10:47 - Subject: sub-033, Accuracy: 83.333%
2025-08-26 15:10:47 - Subject: sub-034, Accuracy: 80.952%
2025-08-26 15:10:47 - Subject: sub-035, Accuracy: 80.952%
2025-08-26 15:10:47 - Subject: sub-036, Accuracy: 92.857%
2025-08-26 15:10:47 - Subject: sub-037, Accuracy: 85.714%
2025-08-26 15:10:47 - Subject: sub-038, Accuracy: 90.476%
2025-08-26 15:10:47 - Subject: sub-039, Accuracy: 85.714%
2025-08-26 15:10:47 - Subject: sub-040, Accuracy: 90.476%
2025-08-26 15:10:47 - Subject: sub-041, Accuracy: 83.333%
2025-08-26 15:10:47 - Subject: sub-042, Accuracy: 71.429%
2025-08-26 15:10:47 - Subject: sub-043, Accuracy: 92.857%
2025-08-26 15:10:47 - Subject: sub-044, Accuracy: 88.095%
