metric,n_pairs,method1_mean,method2_mean,mean_difference,t_statistic,t_pvalue,cohens_d,effect_size,significant
overall_accuracy,25,0.6059611949491839,0.630944299267617,-0.024983104318433126,-3.756305380195832,0.0009730450398067988,-0.7512610760391665,medium,True
p3_accuracy,25,0.6002801412653295,0.619953855032422,-0.01967371376709237,-2.5904027264110594,0.016048601631024072,-0.5180805452822118,medium,True
avo_accuracy,25,0.6075000090070537,0.6749069191227046,-0.06740691011565086,-6.424221516203215,1.2120304322558826e-06,-1.2848443032406427,large,True
p3_precision,25,0.6082864176132344,0.6390554877506016,-0.03076907013736717,-2.674630043802936,0.013254381276769447,-0.5349260087605873,medium,True
p3_recall,25,0.5815112068066213,0.5708014679258879,0.010709738880733406,0.3286661832147106,0.7452586376717983,0.06573323664294212,negligible,False
p3_f1,25,0.5850767387646132,0.5962269466394451,-0.011150207874831938,-0.6591556839624999,0.5160710537207245,-0.13183113679249997,negligible,False
p3_auc,25,0.6479654107222274,0.6700913125058676,-0.0221259017836402,-2.9218246967743897,0.007466674444547609,-0.584364939354878,medium,True
avo_precision,25,0.5788889190775056,0.6728731577336063,-0.09398423865610077,-6.532402190944509,9.341898735832022e-07,-1.306480438188902,large,True
avo_recall,25,0.8312111219315534,0.683211642038525,0.14799947989302836,5.4873435277625475,1.2168097464670569e-05,1.0974687055525094,large,True
avo_f1,25,0.6786135652837764,0.6752251626491532,0.00338840263462306,0.28905911411589125,0.7750183348624683,0.057811822823178254,negligible,False
avo_auc,25,0.6925771898633033,0.7367310863508982,-0.04415389648759503,-5.117308561400511,3.0888212557326564e-05,-1.0234617122801024,large,True
