metric,n_pairs,method1_mean,method2_mean,mean_difference,t_statistic,t_pvalue,cohens_d,effect_size,significant
overall_accuracy,25,0.6030000000000001,0.5375,0.0655,5.440651611026547,1.367888335471334e-05,1.0881303222053091,large,True
p3_accuracy,25,0.6030000000000001,0.5375,0.0655,5.440651611026547,1.367888335471334e-05,1.0881303222053091,large,True
avo_accuracy,25,0.0,0.0,0.0,,,0.0,negligible,False
p3_precision,25,0.6093218795642251,0.4219353278540733,0.18738655171015178,4.002602493853037,0.0005234543640936011,0.8005204987706076,large,True
p3_recall,25,0.584,0.5379999999999999,0.045999999999999985,0.6433828628935777,0.5260761510048647,0.12867657257871554,negligible,False
p3_f1,25,0.5915648463935592,0.45428658053856374,0.1372782658549955,2.6724096620759896,0.013321781254206484,0.5344819324151979,medium,True
p3_auc,25,0.65085,0.5918249999999999,0.05902500000000001,3.1266833711113398,0.004584040701798034,0.625336674222268,medium,True
avo_precision,25,0.0,0.0,0.0,,,0.0,negligible,False
avo_recall,25,0.0,0.0,0.0,,,0.0,negligible,False
avo_f1,25,0.0,0.0,0.0,,,0.0,negligible,False
avo_auc,25,0.5,0.5,0.0,,,0.0,negligible,False
