repeat,fold,overall_accuracy,p3_accuracy,avo_accuracy,p3_precision,p3_recall,p3_f1,p3_auc,avo_precision,avo_recall,avo_f1,avo_auc,p3_test_size,avo_test_size
1,1,0.6768115942028986,0.6341463414634146,0.6825657894736842,0.6818181818181818,0.6521739130434783,0.6666666666666666,0.6376811594202898,0.665625,0.7123745819397993,0.6882067851373181,0.7382970202725374,82,608
1,2,0.6739130434782609,0.47191011235955055,0.7038269550748752,0.4166666666666667,0.5128205128205128,0.4597701149425287,0.45641025641025634,0.6893491124260355,0.761437908496732,0.7236024844720497,0.761847789963443,89,601
1,3,0.6536231884057971,0.5185185185185185,0.6715927750410509,0.5454545454545454,0.5581395348837209,0.5517241379310344,0.5275397796817626,0.6574074074074074,0.7052980132450332,0.6805111821086264,0.7315723623185278,81,609
1,4,0.637155297532656,0.5342465753424658,0.6493506493506493,0.7,0.3333333333333333,0.45161290322580644,0.5806451612903226,0.6791666666666667,0.5397350993377483,0.6014760147601476,0.7137870671109798,73,616
1,5,0.6502177068214804,0.6,0.6563517915309446,0.5,0.5333333333333333,0.5161290322580646,0.6022222222222222,0.6843971631205674,0.6126984126984127,0.6465661641541038,0.7434623347666827,75,614
2,1,0.672463768115942,0.5373134328358209,0.6869983948635634,0.4117647058823529,0.56,0.4745762711864407,0.5638095238095238,0.7147766323024055,0.65,0.6808510638297872,0.7541563531353136,67,623
2,2,0.6246376811594203,0.5125,0.639344262295082,0.6285714285714286,0.4583333333333333,0.5301204819277109,0.546875,0.6521739130434783,0.5555555555555556,0.6,0.7251535590193738,80,610
2,3,0.6855072463768116,0.5925925925925926,0.6978653530377669,0.6153846153846154,0.5714285714285714,0.5925925925925927,0.5989010989010989,0.6498740554156172,0.8514851485148515,0.7371428571428572,0.7853491231476089,81,609
2,4,0.6429608127721336,0.5714285714285714,0.6528925619834711,0.5862068965517241,0.4146341463414634,0.48571428571428565,0.5530346001134431,0.7183098591549296,0.504950495049505,0.5930232558139535,0.7313618779096454,84,605
2,5,0.671988388969521,0.5681818181818182,0.6871880199667221,0.5555555555555556,0.6818181818181818,0.6122448979591836,0.6084710743801653,0.6955017301038062,0.6677740863787376,0.6813559322033899,0.7320598006644519,88,601
3,1,0.5927536231884057,0.5104166666666666,0.6060606060606061,0.5,0.48936170212765956,0.4946236559139785,0.5597047329570126,0.7318840579710145,0.3389261744966443,0.46330275229357804,0.7477893161617994,96,594
3,2,0.6289855072463768,0.6022727272727273,0.632890365448505,0.5957446808510638,0.6363636363636364,0.6153846153846154,0.640495867768595,0.6459854014598541,0.5880398671096345,0.6156521739130434,0.6861844792000089,88,602
3,3,0.6536231884057971,0.5571428571428572,0.6645161290322581,0.6153846153846154,0.6,0.6075949367088608,0.5283333333333333,0.6474164133738601,0.6983606557377049,0.6719242902208202,0.7436898256570388,70,620
3,4,0.6458635703918723,0.5568181818181818,0.6589018302828619,0.48936170212765956,0.6052631578947368,0.5411764705882353,0.5936842105263158,0.6688963210702341,0.6535947712418301,0.6611570247933884,0.7170488534396809,88,601
3,5,0.660377358490566,0.3103448275862069,0.6925515055467512,0.32,0.25806451612903225,0.2857142857142857,0.3763440860215054,0.6724137931034483,0.7452229299363057,0.7069486404833837,0.7650545520303803,58,631
4,1,0.6565217391304348,0.5952380952380952,0.665016501650165,0.6829268292682927,0.5714285714285714,0.6222222222222223,0.6186588921282798,0.6260162601626016,0.7804054054054054,0.6947368421052632,0.7299912816041847,84,606
4,2,0.6289855072463768,0.5227272727272727,0.6445182724252492,0.4772727272727273,0.525,0.5,0.5713541666666667,0.6288951841359773,0.7278688524590164,0.6747720364741642,0.7182756527018822,88,602
4,3,0.644927536231884,0.5428571428571428,0.6564516129032258,0.5625,0.5,0.5294117647058824,0.6029411764705883,0.7307692307692307,0.4919093851132686,0.5880077369439071,0.746074360815409,70,620
4,4,0.6211901306240929,0.5,0.6353322528363047,0.5483870967741935,0.4358974358974359,0.4857142857142857,0.543900543900544,0.650375939849624,0.5672131147540984,0.6059544658493871,0.7223518284993695,72,617
4,5,0.6531204644412193,0.5232558139534884,0.6716417910447762,0.43902439024390244,0.5,0.4675324675324676,0.5216666666666666,0.659942363112392,0.7411003236245954,0.6981707317073171,0.7318759218897916,86,603
5,1,0.6391304347826087,0.6091954022988506,0.6434494195688225,0.6341463414634146,0.5777777777777777,0.6046511627906976,0.6523809523809524,0.6268656716417911,0.7,0.6614173228346456,0.7251155115511552,87,603
5,2,0.6463768115942029,0.5747126436781609,0.6567164179104478,0.6666666666666666,0.6296296296296297,0.6476190476190475,0.55331088664422,0.7121212121212122,0.4845360824742268,0.5766871165644172,0.7313860252004581,87,603
5,3,0.6405797101449274,0.5466666666666666,0.6520325203252032,0.47619047619047616,0.625,0.5405405405405405,0.5581395348837208,0.6542056074766355,0.670926517571885,0.6624605678233438,0.7266677951039925,75,615
5,4,0.6647314949201741,0.6172839506172839,0.6710526315789473,0.5862068965517241,0.4722222222222222,0.523076923076923,0.6160493827160494,0.7596153846153846,0.512987012987013,0.6124031007751937,0.7547402597402597,81,608
5,5,0.6705370101596516,0.45714285714285713,0.6946688206785138,0.41379310344827586,0.36363636363636365,0.3870967741935484,0.4701064701064701,0.6835820895522388,0.7339743589743589,0.7078825347758886,0.7529754447506891,70,619
