repeat,fold,overall_accuracy,p3_accuracy,avo_accuracy,p3_precision,p3_recall,p3_f1,p3_auc,avo_precision,avo_recall,avo_f1,avo_auc,p3_test_size,avo_test_size
1,1,0.6376811594202898,0.4942528735632184,0.6583747927031509,0.5454545454545454,0.2608695652173913,0.3529411764705882,0.623541887592789,0.6195372750642674,0.8060200668896321,0.7005813953488372,0.7324084668192219,87,603
1,2,0.5927536231884057,0.5280898876404494,0.6023294509151415,0.47368421052631576,0.6923076923076923,0.5625,0.6210256410256411,0.5714285714285714,0.8758169934640523,0.6916129032258065,0.6966101694915254,89,601
1,3,0.5869565217391305,0.6301369863013698,0.5818476499189628,0.7241379310344828,0.525,0.6086956521739131,0.6575757575757576,0.5547785547785548,0.780327868852459,0.6485013623978202,0.6401113913408996,73,617
1,4,0.5840579710144927,0.647887323943662,0.5767366720516963,0.6451612903225806,0.5882352941176471,0.6153846153846154,0.6677265500794912,0.5446265938069217,0.9614147909967846,0.6953488372093023,0.703929511003466,71,619
1,5,0.644927536231884,0.675,0.6409836065573771,0.6829268292682927,0.6829268292682927,0.6829268292682927,0.7548467792370231,0.6197183098591549,0.7236842105263158,0.6676783004552352,0.685672514619883,80,610
2,1,0.6260869565217392,0.6388888888888888,0.6245954692556634,0.5833333333333334,0.65625,0.6176470588235293,0.7203125,0.6062992125984252,0.7380191693290735,0.6657060518731989,0.6971979259414447,72,618
2,2,0.5971014492753624,0.5945945945945946,0.5974025974025974,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6475095785440612,0.5513833992094862,0.93,0.6923076923076924,0.7104852320675106,74,616
2,3,0.6144927536231884,0.6091954022988506,0.615257048092869,0.6944444444444444,0.5208333333333334,0.5952380952380953,0.6191239316239316,0.569593147751606,0.8956228956228957,0.6963350785340314,0.7201205959375895,87,603
2,4,0.5840579710144927,0.6075949367088608,0.5810147299509002,0.5365853658536586,0.6470588235294118,0.5866666666666668,0.684967320261438,0.5578947368421052,0.8520900321543409,0.6743002544529261,0.6768274383708468,79,611
2,5,0.6666666666666666,0.5795454545454546,0.6794019933554817,0.54,0.6585365853658537,0.5934065934065934,0.6284379865075246,0.6495956873315364,0.7927631578947368,0.714074074074074,0.7438184387142353,88,602
3,1,0.6028985507246377,0.6363636363636364,0.5972927241962775,0.6274509803921569,0.6530612244897959,0.64,0.6506122448979592,0.5674418604651162,0.8243243243243243,0.6721763085399448,0.6980073293632615,99,591
3,2,0.6463768115942029,0.6705882352941176,0.6429752066115703,0.66,0.75,0.702127659574468,0.6940133037694013,0.6044226044226044,0.8172757475083057,0.6949152542372881,0.7275528938625633,85,605
3,3,0.5985507246376811,0.6470588235294118,0.5932475884244373,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6874999999999999,0.5557768924302788,0.9029126213592233,0.688039457459926,0.6989050528862557,68,622
3,4,0.5565217391304348,0.6447368421052632,0.5456026058631922,0.6216216216216216,0.6388888888888888,0.6301369863013699,0.6590277777777778,0.5283018867924528,0.9061488673139159,0.66746126340882,0.6769430739031248,76,614
3,5,0.6304347826086958,0.625,0.6310679611650486,0.6,0.6857142857142857,0.64,0.596911196911197,0.5883620689655172,0.8806451612903226,0.7054263565891474,0.726403435274403,72,618
4,1,0.5884057971014492,0.6206896551724138,0.5837479270315091,0.66,0.673469387755102,0.6666666666666666,0.6976369495166488,0.545271629778672,0.9155405405405406,0.6834804539722572,0.7261092525750505,87,603
4,2,0.5550724637681159,0.625,0.5448504983388704,0.5476190476190477,0.6216216216216216,0.5822784810126581,0.6735559088500266,0.5344129554655871,0.8571428571428571,0.6583541147132169,0.6409079865712519,88,602
4,3,0.618840579710145,0.6538461538461539,0.6143790849673203,0.6585365853658537,0.675,0.6666666666666667,0.6802631578947368,0.5891472868217055,0.7475409836065574,0.6589595375722543,0.7042131681529342,78,612
4,4,0.5681159420289855,0.5,0.5758064516129032,0.5428571428571428,0.5,0.5205479452054795,0.5879934210526316,0.5402930402930403,0.9609120521172638,0.6916764361078546,0.7031667898138223,70,620
4,5,0.591304347826087,0.6493506493506493,0.5840130505709625,0.5957446808510638,0.7777777777777778,0.674698795180723,0.6842818428184282,0.5533596837944664,0.9061488673139159,0.6871165644171779,0.6946644523931187,77,613
5,1,0.5637681159420289,0.5555555555555556,0.565,0.5909090909090909,0.5416666666666666,0.5652173913043478,0.6314484126984127,0.53515625,0.9225589225589226,0.6773794808405439,0.6722005533886722,90,600
5,2,0.6115942028985507,0.5945945945945946,0.6136363636363636,0.6410256410256411,0.6097560975609756,0.625,0.6156688839615669,0.5942857142857143,0.6842105263157895,0.6360856269113151,0.6770938765182187,74,616
5,3,0.5869565217391305,0.6136363636363636,0.5830564784053156,0.6341463414634146,0.5777777777777777,0.6046511627906976,0.6589147286821706,0.5526881720430108,0.8566666666666667,0.6718954248366014,0.7017880794701987,88,602
5,4,0.5826086956521739,0.569620253164557,0.5842880523731587,0.5,0.7058823529411765,0.5853658536585366,0.6039215686274509,0.553072625698324,0.954983922829582,0.7004716981132076,0.675139335476956,79,611
5,5,0.6391304347826087,0.5652173913043478,0.6473429951690821,0.5333333333333333,0.5,0.5161290322580646,0.5641891891891891,0.6103286384976526,0.8306709265175719,0.7036535859269283,0.7364113522260487,69,621
