metric,n_pairs,method1_mean,method2_mean,mean_difference,t_statistic,t_pvalue,cohens_d,effect_size,significant
overall_accuracy,25,0.6253333333333334,0.7699415662270461,-0.14460823289371277,-9.912675087970195,5.832353234220867e-10,-1.9825350175940393,large,True
p3_accuracy,25,0.614460135319516,0.5526853636547049,0.061774771664811094,3.752653877421439,0.0009819888404071168,0.7505307754842879,medium,True
avo_accuracy,25,0.626718038548736,0.7981566835953102,-0.17143864504657425,-11.025664400630232,7.063748073507364e-11,-2.2051328801260466,large,True
p3_precision,25,0.6195569660072457,0.5607614864411454,0.058795479566100435,2.6215713372084326,0.01495585609699252,0.5243142674416865,medium,True
p3_recall,25,0.6030502601268519,0.5626970523092008,0.04035320781765108,1.502561304918342,0.1459970665050231,0.30051226098366846,small,False
p3_f1,25,0.6063897800353899,0.5482780135592447,0.05811176647614534,3.4588033569918024,0.0020397489828270976,0.6917606713983605,medium,True
p3_auc,25,0.6534809530569953,0.5926545921073719,0.060826360949623515,3.6089273722445787,0.001406023133801242,0.7217854744489158,medium,True
avo_precision,25,0.6175780466734406,0.783328253077733,-0.16575020640429247,-8.605781727983501,8.465640824083459e-09,-1.7211563455967003,large,True
avo_recall,25,0.7517457519959437,0.8459426827167905,-0.09419693072084673,-2.9263159789163162,0.007388058365685836,-0.5852631957832632,medium,True
avo_f1,25,0.6626826562689458,0.809300452957864,-0.14661779668891803,-12.584936674147082,4.637055082469026e-12,-2.516987334829417,large,True
avo_auc,25,0.7096575396313165,0.8654797659430911,-0.15582222631177467,-12.971647964570646,2.452904711539909e-12,-2.5943295929141295,large,True
