metric,n_pairs,method1_mean,method2_mean,mean_difference,t_statistic,t_pvalue,cohens_d,effect_size,significant
overall_accuracy,25,0.6253333333333334,0.5997101449275362,0.025623188405797116,4.057237688394316,0.00045590778514960204,0.8114475376788634,large,True
p3_accuracy,25,0.614460135319516,0.5895776533797341,0.02488248193978183,2.463502335459377,0.02131256079883991,0.49270046709187537,small,True
avo_accuracy,25,0.626718038548736,0.601007357968661,0.025710680580074988,3.681260725023727,0.0011740072209784338,0.7362521450047455,medium,True
p3_precision,25,0.6195569660072457,0.5876133910652431,0.03194357494200256,2.7865019508341073,0.010245132696012996,0.5573003901668215,medium,True
p3_recall,25,0.6030502601268519,0.628989408445054,-0.025939148318202206,-0.8511618356698049,0.40309237380057017,-0.17023236713396098,negligible,False
p3_f1,25,0.6063897800353899,0.6014398440445408,0.004949935990849214,0.32286236540002533,0.749595536027974,0.06457247308000506,negligible,False
p3_auc,25,0.6534809530569953,0.6210793868378164,0.03240156621917907,2.567724542288724,0.016890082467240147,0.5135449084577447,medium,True
avo_precision,25,0.6175780466734406,0.5895813240875685,0.02799672258587221,1.70899140215822,0.10035477605682226,0.34179828043164395,small,False
avo_recall,25,0.7517457519959437,0.7937526576194587,-0.042006905623514876,-0.8626262771923693,0.3968812202715991,-0.17252525543847386,negligible,False
avo_f1,25,0.6626826562689458,0.6575994371956198,0.005083219073326264,0.295616913507595,0.7700652219417683,0.05912338270151901,negligible,False
avo_auc,25,0.7096575396313165,0.6895985083595775,0.02005903127173885,2.653834475482978,0.013898375852145583,0.5307668950965957,medium,True
