repeat,fold,overall_accuracy,p3_accuracy,avo_accuracy,p3_precision,p3_recall,p3_f1,p3_auc,avo_precision,avo_recall,avo_f1,avo_auc,p3_test_size,avo_test_size
1,1,0.5753623188405798,0.4367816091954023,0.5953565505804311,0.4666666666666667,0.45652173913043476,0.46153846153846156,0.47985153764581123,0.5557809330628803,0.9163879598662207,0.6919191919191919,0.7219349586340432,87,603
1,2,0.636231884057971,0.5393258426966292,0.6505823627287853,0.4782608695652174,0.5641025641025641,0.5176470588235293,0.5553846153846154,0.6621621621621622,0.6405228758169934,0.6511627906976744,0.7233743214800044,89,601
1,3,0.601449275362319,0.5068493150684932,0.6126418152350082,0.5625,0.45,0.5,0.5356060606060606,0.6542056074766355,0.45901639344262296,0.5394990366088632,0.6842370744010087,73,617
1,4,0.6260869565217392,0.4647887323943662,0.6445880452342488,0.46,0.6764705882352942,0.5476190476190477,0.519872813990461,0.6226415094339622,0.7427652733118971,0.6774193548387096,0.7117332024888295,71,619
1,5,0.6971014492753624,0.6,0.7098360655737705,0.6097560975609756,0.6097560975609756,0.6097560975609756,0.6241400875547217,0.6768802228412256,0.7993421052631579,0.7330316742081447,0.7866357069143447,80,610
2,1,0.6434782608695652,0.5833333333333334,0.6504854368932039,0.5277777777777778,0.59375,0.5588235294117648,0.59296875,0.6227848101265823,0.7859424920127795,0.6949152542372881,0.7120305871261718,72,618
2,2,0.644927536231884,0.6756756756756757,0.6412337662337663,0.7837837837837838,0.6444444444444445,0.7073170731707318,0.7057471264367816,0.6230529595015576,0.6666666666666666,0.644122383252818,0.699789029535865,74,616
2,3,0.6275362318840579,0.5517241379310345,0.6384742951907131,0.5957446808510638,0.5833333333333334,0.5894736842105263,0.5379273504273504,0.616519174041298,0.7037037037037037,0.6572327044025157,0.6936797165555336,87,603
2,4,0.5927536231884057,0.5063291139240507,0.6039279869067103,0.43243243243243246,0.47058823529411764,0.4507042253521127,0.4686274509803922,0.6825396825396826,0.41479099678456594,0.516,0.6977277599142551,79,611
2,5,0.6550724637681159,0.5340909090909091,0.6727574750830565,0.5,0.6097560975609756,0.5494505494505494,0.5729112610275038,0.6140724946695096,0.9473684210526315,0.7451487710219923,0.7740418580007066,88,602
3,1,0.6289855072463768,0.5858585858585859,0.6362098138747885,0.5909090909090909,0.5306122448979592,0.5591397849462366,0.6028571428571428,0.6575875486381323,0.5709459459459459,0.6112115732368897,0.6900137425561155,99,591
3,2,0.6463768115942029,0.5529411764705883,0.6595041322314049,0.5789473684210527,0.5,0.5365853658536586,0.5299334811529933,0.6907630522088354,0.5714285714285714,0.6254545454545455,0.7188428921140059,85,605
3,3,0.6202898550724638,0.5147058823529411,0.6318327974276527,0.56,0.3888888888888889,0.45901639344262296,0.6232638888888888,0.6388888888888888,0.5954692556634305,0.6164154103852596,0.6946555414249822,68,622
3,4,0.6130434782608697,0.618421052631579,0.6123778501628665,0.6129032258064516,0.5277777777777778,0.5671641791044777,0.6194444444444445,0.6163934426229508,0.6084142394822006,0.6123778501628665,0.6605337153164623,76,614
3,5,0.6463768115942029,0.5277777777777778,0.6601941747572816,0.5116279069767442,0.6285714285714286,0.5641025641025641,0.6077220077220078,0.7016129032258065,0.5612903225806452,0.6236559139784946,0.7256074570590699,72,618
4,1,0.6492753623188405,0.5977011494252874,0.6567164179104478,0.6944444444444444,0.5102040816326531,0.588235294117647,0.644468313641246,0.6518771331058021,0.6452702702702703,0.6485568760611206,0.6994783871819703,87,603
4,2,0.5376811594202898,0.4772727272727273,0.5465116279069767,0.3333333333333333,0.24324324324324326,0.28125,0.4774774774774775,0.7868852459016393,0.15584415584415584,0.26016260162601623,0.6633315663927908,88,602
4,3,0.6289855072463768,0.6025641025641025,0.6323529411764706,0.6551724137931034,0.475,0.5507246376811594,0.6190789473684211,0.7222222222222222,0.4262295081967213,0.5360824742268041,0.7218561435360711,78,612
4,4,0.6086956521739131,0.5,0.6209677419354839,0.5483870967741935,0.4473684210526316,0.49275362318840576,0.5830592105263158,0.5825688073394495,0.8273615635179153,0.68371467025572,0.6909908316075388,70,620
4,5,0.6420289855072464,0.4155844155844156,0.6704730831973899,0.38461538461538464,0.4166666666666667,0.4,0.42615176151761514,0.6442048517520216,0.7734627831715211,0.7029411764705883,0.7317428887753363,77,613
5,1,0.6318840579710144,0.5,0.6516666666666666,0.5333333333333333,0.5,0.5161290322580646,0.498015873015873,0.6333333333333333,0.7037037037037037,0.6666666666666667,0.7084152859730418,90,600
5,2,0.6246376811594203,0.5405405405405406,0.6347402597402597,0.5945945945945946,0.5365853658536586,0.5641025641025641,0.5498891352549888,0.6771300448430493,0.4967105263157895,0.5730550284629982,0.7134573211875843,74,616
5,3,0.6188405797101451,0.5681818181818182,0.6262458471760798,0.6129032258064516,0.4222222222222222,0.5,0.5736434108527132,0.6038781163434903,0.7266666666666667,0.659606656580938,0.6905187637969095,88,602
5,4,0.5884057971014492,0.7215189873417721,0.5711947626841244,0.75,0.5294117647058824,0.6206896551724139,0.6941176470588236,0.6666666666666666,0.31511254019292606,0.4279475982532751,0.6929796355841372,79,611
5,5,0.563768115942029,0.42028985507246375,0.5797101449275363,0.40476190476190477,0.53125,0.4594594594594595,0.5059121621621622,0.5472727272727272,0.9616613418530351,0.6975666280417149,0.7118273100701216,69,621
