repeat,fold,overall_accuracy,p3_accuracy,avo_accuracy,p3_precision,p3_recall,p3_f1,p3_auc,avo_precision,avo_recall,avo_f1,avo_auc,p3_test_size,avo_test_size
1,1,0.6,0.6,0.0,0.5784313725490197,0.7375,0.6483516483516484,0.6117187500000001,0.0,0.0,0.0,0.5,160,0
1,2,0.6125,0.6125,0.0,0.625,0.5625,0.5921052631578947,0.6135937499999999,0.0,0.0,0.0,0.5,160,0
1,3,0.60625,0.60625,0.0,0.6888888888888889,0.3875,0.496,0.6698437499999998,0.0,0.0,0.0,0.5,160,0
1,4,0.54375,0.54375,0.0,0.5267175572519084,0.8625,0.6540284360189573,0.59875,0.0,0.0,0.0,0.5,160,0
1,5,0.54375,0.54375,0.0,0.5327102803738317,0.7125,0.6096256684491979,0.5425,0.0,0.0,0.0,0.5,160,0
2,1,0.5375,0.5375,0.0,0.5833333333333334,0.2625,0.3620689655172414,0.6000000000000001,0.0,0.0,0.0,0.5,160,0
2,2,0.6,0.6,0.0,0.5851063829787234,0.6875,0.632183908045977,0.630625,0.0,0.0,0.0,0.5,160,0
2,3,0.6,0.6,0.0,0.6081081081081081,0.5625,0.5844155844155844,0.6264062499999999,0.0,0.0,0.0,0.5,160,0
2,4,0.60625,0.60625,0.0,0.5913978494623656,0.6875,0.6358381502890174,0.59984375,0.0,0.0,0.0,0.5,160,0
2,5,0.60625,0.60625,0.0,0.639344262295082,0.4875,0.5531914893617021,0.62671875,0.0,0.0,0.0,0.5,160,0
3,1,0.65625,0.65625,0.0,0.6811594202898551,0.5875,0.6308724832214765,0.6704687500000001,0.0,0.0,0.0,0.5,160,0
3,2,0.63125,0.63125,0.0,0.6296296296296297,0.6375,0.6335403726708074,0.634375,0.0,0.0,0.0,0.5,160,0
3,3,0.6,0.6,0.0,0.5754716981132075,0.7625,0.6559139784946236,0.683125,0.0,0.0,0.0,0.5,160,0
3,4,0.5,0.5,0.0,0.0,0.0,0.0,0.5821875,0.0,0.0,0.0,0.5,160,0
3,5,0.5,0.5,0.0,0.5,1.0,0.6666666666666666,0.6293749999999999,0.0,0.0,0.0,0.5,160,0
4,1,0.575,0.575,0.0,0.5638297872340425,0.6625,0.6091954022988506,0.60265625,0.0,0.0,0.0,0.5,160,0
4,2,0.54375,0.54375,0.0,0.5376344086021505,0.625,0.5780346820809249,0.6164062499999999,0.0,0.0,0.0,0.5,160,0
4,3,0.525,0.525,0.0,0.54,0.3375,0.4153846153846154,0.5659375,0.0,0.0,0.0,0.5,160,0
4,4,0.5875,0.5875,0.0,0.6206896551724138,0.45,0.5217391304347826,0.6375,0.0,0.0,0.0,0.5,160,0
4,5,0.5,0.5,0.0,0.0,0.0,0.0,0.6364062500000001,0.0,0.0,0.0,0.5,160,0
5,1,0.55625,0.55625,0.0,0.5569620253164557,0.55,0.5534591194968553,0.584375,0.0,0.0,0.0,0.5,160,0
5,2,0.55625,0.55625,0.0,0.5652173913043478,0.4875,0.5234899328859061,0.56578125,0.0,0.0,0.0,0.5,160,0
5,3,0.6375,0.6375,0.0,0.6018518518518519,0.8125,0.6914893617021277,0.68828125,0.0,0.0,0.0,0.5,160,0
5,4,0.61875,0.61875,0.0,0.6666666666666666,0.475,0.5547445255474452,0.68265625,0.0,0.0,0.0,0.5,160,0
5,5,0.58125,0.58125,0.0,0.5546218487394958,0.825,0.6633165829145728,0.6217187500000001,0.0,0.0,0.0,0.5,160,0
