metric,n_pairs,method1_mean,method2_mean,mean_difference,t_statistic,t_pvalue,cohens_d,effect_size,significant
overall_accuracy,25,0.664141351675396,0.5335,0.13064135167539598,8.443172172913377,1.199444954613565e-08,1.6886344345826754,large,True
p3_accuracy,25,0.5719352159959156,0.5335,0.03843521599591558,2.022093568382596,0.05444934555472043,0.4044187136765192,small,False
avo_accuracy,25,0.6760116208050669,0.0,0.6760116208050669,57.41070842573321,3.293519278520979e-27,11.482141685146642,large,True
p3_precision,25,0.5867620471817713,0.38332895033237674,0.20343309684939456,3.3044568584320313,0.0029793142742026786,0.6608913716864063,medium,True
p3_recall,25,0.5961235893088821,0.42599999999999993,0.17012358930888205,2.1608495661258553,0.04090606959025711,0.4321699132251711,small,True
p3_f1,25,0.5674619566539538,0.38537251407325657,0.1820894425806974,2.867575642338094,0.008481414799990912,0.5735151284676188,medium,True
p3_auc,25,0.6231984500076705,0.584425,0.03877345000767046,2.2192983427749566,0.03617140647012663,0.44385966855499137,small,True
avo_precision,25,0.7035216747939639,0.0,0.7035216747939639,41.626916568381866,6.853843771531921e-24,8.325383313676372,large,True
avo_recall,25,0.682084872173146,0.0,0.682084872173146,19.624318230079535,2.753014931023585e-16,3.9248636460159063,large,True
avo_f1,25,0.671109330711051,0.0,0.671109330711051,53.26635777596844,1.9622982451597605e-26,10.65327155519369,large,True
avo_auc,25,0.7669548389403098,0.5,0.2669548389403099,22.526081276455578,1.1852166867903674e-17,4.505216255291116,large,True
